pipeline,group,var_i,var_j,rho_gauss
150MW,winter_day,Solar,Solar,1.0
150MW,winter_day,Solar,Wind,-0.0226
150MW,winter_day,Solar,Demand,0.1611
150MW,winter_day,Wind,Solar,-0.0226
150MW,winter_day,Wind,Wind,1.0
150MW,winter_day,Wind,Demand,-0.038
150MW,winter_day,Demand,Solar,0.1611
150MW,winter_day,Demand,Wind,-0.038
150MW,winter_day,Demand,Demand,1.0
150MW,winter_night,Solar,Solar,1.0
150MW,winter_night,Solar,Wind,-0.0
150MW,winter_night,Solar,Demand,0.0
150MW,winter_night,Wind,Solar,-0.0
150MW,winter_night,Wind,Wind,1.0
150MW,winter_night,Wind,Demand,-0.0031
150MW,winter_night,Demand,Solar,0.0
150MW,winter_night,Demand,Wind,-0.0031
150MW,winter_night,Demand,Demand,1.0
150MW,spring_day,Solar,Solar,1.0
150MW,spring_day,Solar,Wind,-0.0298
150MW,spring_day,Solar,Demand,0.1899
150MW,spring_day,Wind,Solar,-0.0298
150MW,spring_day,Wind,Wind,1.0
150MW,spring_day,Wind,Demand,0.0279
150MW,spring_day,Demand,Solar,0.1899
150MW,spring_day,Demand,Wind,0.0279
150MW,spring_day,Demand,Demand,1.0
150MW,spring_night,Solar,Solar,1.0
150MW,spring_night,Solar,Wind,0.0
150MW,spring_night,Solar,Demand,0.0
150MW,spring_night,Wind,Solar,0.0
150MW,spring_night,Wind,Wind,1.0
150MW,spring_night,Wind,Demand,0.0391
150MW,spring_night,Demand,Solar,0.0
150MW,spring_night,Demand,Wind,0.0391
150MW,spring_night,Demand,Demand,1.0
150MW,summer_day,Solar,Solar,1.0
150MW,summer_day,Solar,Wind,-0.0032
150MW,summer_day,Solar,Demand,0.0578
150MW,summer_day,Wind,Solar,-0.0032
150MW,summer_day,Wind,Wind,1.0
150MW,summer_day,Wind,Demand,0.0437
150MW,summer_day,Demand,Solar,0.0578
150MW,summer_day,Demand,Wind,0.0437
150MW,summer_day,Demand,Demand,1.0
150MW,summer_night,Solar,Solar,1.0
150MW,summer_night,Solar,Wind,-0.0
150MW,summer_night,Solar,Demand,-0.0
150MW,summer_night,Wind,Solar,-0.0
150MW,summer_night,Wind,Wind,1.0
150MW,summer_night,Wind,Demand,0.052
150MW,summer_night,Demand,Solar,-0.0
150MW,summer_night,Demand,Wind,0.052
150MW,summer_night,Demand,Demand,1.0
150MW,fall_day,Solar,Solar,1.0
150MW,fall_day,Solar,Wind,-0.0097
