solar_sim,solar_clipped,wind_sim,wind_clipped,demand_sim,demand_clipped,solar_cap_MW,wind_cap_MW,demand_cap_MW,group,pipeline
0.0,0.0,28026865202912.164,178.979,1790.441,1790.441,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,0.0,0.0,1729.032,1729.032,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,0.443,0.443,2869.686,2869.686,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,114774.712,178.979,2590.839,2590.839,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,1207532118.837,178.979,1767.932,1767.932,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,0.0,0.0,2620.588,2620.588,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,82030590.884,178.979,2443.27,2443.27,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,0.0,0.0,1711.676,1711.676,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,151190.842,178.979,1957.793,1957.793,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,0.0,0.0,2107.873,2107.873,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,6217.263,178.979,2888.275,2888.275,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,103.623,103.623,3047.237,3047.237,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,3.342,3.342,2110.319,2110.319,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,6.849,6.849,2297.743,2297.743,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,27061.727,178.979,2206.118,2206.118,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,123066365544.444,178.979,1921.059,1921.059,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,0.082,0.082,2184.143,2184.143,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,18780668258.836,178.979,2373.2,2373.2,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,0.0,0.0,2394.467,2394.467,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,209080.127,178.979,1769.213,1769.213,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,0.0,0.0,2220.811,2220.811,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,201609126.306,178.979,2634.324,2634.324,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,0.0,0.0,2773.435,2773.435,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,0.0,0.0,1803.809,1803.809,0.0,178.979,3775.92,spring_night,110MW
0.0,0.0,434.619,178.979,2447.885,2447.885,0.0,178.979,3775.92,spring_night,110MW
