solar_sim,solar_clipped,wind_sim,wind_clipped,demand_sim,demand_clipped,solar_cap_MW,wind_cap_MW,demand_cap_MW,group,pipeline
0.21,0.21,369.883,178.956,1799.743,1799.743,106.82,178.956,4393.92,summer_day,110MW
101.69,101.69,28.732,28.732,2430.212,2430.212,106.82,178.956,4393.92,summer_day,110MW
106.813,106.813,0.0,0.0,2500.707,2500.707,106.82,178.956,4393.92,summer_day,110MW
106.82,106.82,736.911,178.956,2154.548,2154.548,106.82,178.956,4393.92,summer_day,110MW
106.798,106.798,0.0,0.0,1743.26,1743.26,106.82,178.956,4393.92,summer_day,110MW
83.247,83.247,0.0,0.0,2902.336,2902.336,106.82,178.956,4393.92,summer_day,110MW
106.82,106.82,15694482.557,178.956,2769.48,2769.48,106.82,178.956,4393.92,summer_day,110MW
28.389,28.389,4459859.069,178.956,2936.905,2936.905,106.82,178.956,4393.92,summer_day,110MW
-1.785,0.0,113142299303355.12,178.956,2569.542,2569.542,106.82,178.956,4393.92,summer_day,110MW
2.635,2.635,0.0,0.0,3568.858,3568.858,106.82,178.956,4393.92,summer_day,110MW
106.635,106.635,7186437909084.35,178.956,2423.368,2423.368,106.82,178.956,4393.92,summer_day,110MW
-1.743,0.0,1193607500.35,178.956,2528.533,2528.533,106.82,178.956,4393.92,summer_day,110MW
104.66,104.66,55898002511.193,178.956,2349.69,2349.69,106.82,178.956,4393.92,summer_day,110MW
-1.702,0.0,50.581,50.581,1963.677,1963.677,106.82,178.956,4393.92,summer_day,110MW
2.893,2.893,335.569,178.956,3112.898,3112.898,106.82,178.956,4393.92,summer_day,110MW
106.792,106.792,0.0,0.0,1952.187,1952.187,106.82,178.956,4393.92,summer_day,110MW
1.051,1.051,1697142.443,178.956,1907.266,1907.266,106.82,178.956,4393.92,summer_day,110MW
-1.783,0.0,425085.493,178.956,4065.348,4065.348,106.82,178.956,4393.92,summer_day,110MW
97.673,97.673,2.672,2.672,3591.636,3591.636,106.82,178.956,4393.92,summer_day,110MW
106.501,106.501,3203955033.965,178.956,3089.17,3089.17,106.82,178.956,4393.92,summer_day,110MW
106.706,106.706,0.001,0.001,2455.846,2455.846,106.82,178.956,4393.92,summer_day,110MW
106.471,106.471,381197.65,178.956,3107.982,3107.982,106.82,178.956,4393.92,summer_day,110MW
-1.679,0.0,0.0,0.0,3362.994,3362.994,106.82,178.956,4393.92,summer_day,110MW
98.164,98.164,8.786,8.786,1975.573,1975.573,106.82,178.956,4393.92,summer_day,110MW
106.713,106.713,0.0,0.0,3014.827,3014.827,106.82,178.956,4393.92,summer_day,110MW
