solar_sim,solar_clipped,wind_sim,wind_clipped,demand_sim,demand_clipped,solar_cap_MW,wind_cap_MW,demand_cap_MW,group,pipeline
145.651,145.651,361.158,178.927,2815.306,2815.306,145.664,178.927,3681.84,fall_day,150MW
122.452,122.452,195.969,178.927,2616.109,2616.109,145.664,178.927,3681.84,fall_day,150MW
33.434,33.434,66.309,66.309,2492.745,2492.745,145.664,178.927,3681.84,fall_day,150MW
145.589,145.589,101.582,101.582,2284.725,2284.725,145.664,178.927,3681.84,fall_day,150MW
108.103,108.103,25.246,25.246,2325.255,2325.255,145.664,178.927,3681.84,fall_day,150MW
27.229,27.229,36.871,36.871,2281.844,2281.844,145.664,178.927,3681.84,fall_day,150MW
33.023,33.023,32.719,32.719,2293.778,2293.778,145.664,178.927,3681.84,fall_day,150MW
145.347,145.347,858.121,178.927,2415.518,2415.518,145.664,178.927,3681.84,fall_day,150MW
145.658,145.658,11.075,11.075,3510.899,3510.899,145.664,178.927,3681.84,fall_day,150MW
54.783,54.783,0.264,0.264,2247.109,2247.109,145.664,178.927,3681.84,fall_day,150MW
22.009,22.009,65.535,65.535,2125.59,2125.59,145.664,178.927,3681.84,fall_day,150MW
36.715,36.715,25.858,25.858,2023.438,2023.438,145.664,178.927,3681.84,fall_day,150MW
45.286,45.286,150.412,150.412,2179.066,2179.066,145.664,178.927,3681.84,fall_day,150MW
145.15,145.15,109.59,109.59,2484.595,2484.595,145.664,178.927,3681.84,fall_day,150MW
35.51,35.51,192.628,178.927,2169.244,2169.244,145.664,178.927,3681.84,fall_day,150MW
145.515,145.515,154.321,154.321,2770.975,2770.975,145.664,178.927,3681.84,fall_day,150MW
145.657,145.657,6.231,6.231,1778.517,1778.517,145.664,178.927,3681.84,fall_day,150MW
145.047,145.047,218.125,178.927,2130.438,2130.438,145.664,178.927,3681.84,fall_day,150MW
79.374,79.374,313.314,178.927,1991.905,1991.905,145.664,178.927,3681.84,fall_day,150MW
132.014,132.014,29.81,29.81,1949.39,1949.39,145.664,178.927,3681.84,fall_day,150MW
143.064,143.064,213.711,178.927,2129.871,2129.871,145.664,178.927,3681.84,fall_day,150MW
143.575,143.575,62.045,62.045,1990.829,1990.829,145.664,178.927,3681.84,fall_day,150MW
142.102,142.102,142.359,142.359,1766.024,1766.024,145.664,178.927,3681.84,fall_day,150MW
29.001,29.001,144.072,144.072,2188.989,2188.989,145.664,178.927,3681.84,fall_day,150MW
143.241,143.241,39.553,39.553,2220.81,2220.81,145.664,178.927,3681.84,fall_day,150MW
