solar_sim,solar_clipped,wind_sim,wind_clipped,demand_sim,demand_clipped,solar_cap_MW,wind_cap_MW,demand_cap_MW,group,pipeline
145.662,145.662,71.17,71.17,2340.252,2340.252,145.664,179.0,3755.84,spring_day,150MW
145.615,145.615,0.0,0.0,2625.596,2625.596,145.664,179.0,3755.84,spring_day,150MW
145.586,145.586,0.0,0.0,2404.077,2404.077,145.664,179.0,3755.84,spring_day,150MW
119.035,119.035,0.0,0.0,2258.932,2258.932,145.664,179.0,3755.84,spring_day,150MW
145.664,145.664,0.091,0.091,2288.257,2288.257,145.664,179.0,3755.84,spring_day,150MW
145.664,145.664,421387.079,179.0,2541.886,2541.886,145.664,179.0,3755.84,spring_day,150MW
145.652,145.652,0.0,0.0,1940.37,1940.37,145.664,179.0,3755.84,spring_day,150MW
140.376,140.376,1266254197.912,179.0,2815.221,2815.221,145.664,179.0,3755.84,spring_day,150MW
110.247,110.247,1.2121776154664082e+17,179.0,1726.84,1726.84,145.664,179.0,3755.84,spring_day,150MW
145.644,145.644,0.159,0.159,1695.04,1695.04,145.664,179.0,3755.84,spring_day,150MW
145.657,145.657,0.0,0.0,2129.046,2129.046,145.664,179.0,3755.84,spring_day,150MW
145.639,145.639,0.0,0.0,2614.826,2614.826,145.664,179.0,3755.84,spring_day,150MW
145.628,145.628,20580.743,179.0,2743.713,2743.713,145.664,179.0,3755.84,spring_day,150MW
143.364,143.364,0.0,0.0,1934.887,1934.887,145.664,179.0,3755.84,spring_day,150MW
145.492,145.492,0.0,0.0,1658.451,1658.451,145.664,179.0,3755.84,spring_day,150MW
74.067,74.067,0.0,0.0,1710.275,1710.275,145.664,179.0,3755.84,spring_day,150MW
143.654,143.654,0.0,0.0,2296.982,2296.982,145.664,179.0,3755.84,spring_day,150MW
-1.116,0.0,74112.796,179.0,2292.025,2292.025,145.664,179.0,3755.84,spring_day,150MW
145.638,145.638,0.0,0.0,1875.959,1875.959,145.664,179.0,3755.84,spring_day,150MW
145.663,145.663,0.0,0.0,2058.227,2058.227,145.664,179.0,3755.84,spring_day,150MW
145.664,145.664,0.0,0.0,2027.637,2027.637,145.664,179.0,3755.84,spring_day,150MW
0.278,0.278,0.0,0.0,2368.784,2368.784,145.664,179.0,3755.84,spring_day,150MW
86.284,86.284,91.528,91.528,1946.545,1946.545,145.664,179.0,3755.84,spring_day,150MW
145.656,145.656,0.0,0.0,2518.142,2518.142,145.664,179.0,3755.84,spring_day,150MW
144.135,144.135,0.0,0.0,2103.469,2103.469,145.664,179.0,3755.84,spring_day,150MW
