solar_sim,solar_clipped,wind_sim,wind_clipped,demand_sim,demand_clipped,solar_cap_MW,wind_cap_MW,demand_cap_MW,group,pipeline
99.523,99.523,224397488.149,178.962,2744.294,2744.294,145.664,178.962,3521.04,winter_day,150MW
25.078,25.078,0.013,0.013,2836.483,2836.483,145.664,178.962,3521.04,winter_day,150MW
145.664,145.664,4822534111165640.0,178.962,2834.016,2834.016,145.664,178.962,3521.04,winter_day,150MW
145.381,145.381,0.0,0.0,2162.583,2162.583,145.664,178.962,3521.04,winter_day,150MW
142.468,142.468,21.722,21.722,2392.469,2392.469,145.664,178.962,3521.04,winter_day,150MW
145.664,145.664,11935.265,178.962,3191.278,3191.278,145.664,178.962,3521.04,winter_day,150MW
64.769,64.769,3267428285633.264,178.962,2687.28,2687.28,145.664,178.962,3521.04,winter_day,150MW
145.622,145.622,0.0,0.0,2389.567,2389.567,145.664,178.962,3521.04,winter_day,150MW
141.901,141.901,0.0,0.0,2234.383,2234.383,145.664,178.962,3521.04,winter_day,150MW
143.209,143.209,0.0,0.0,2592.403,2592.403,145.664,178.962,3521.04,winter_day,150MW
145.625,145.625,0.006,0.006,2620.86,2620.86,145.664,178.962,3521.04,winter_day,150MW
145.264,145.264,104004.459,178.962,2550.662,2550.662,145.664,178.962,3521.04,winter_day,150MW
145.654,145.654,434843570.406,178.962,2209.994,2209.994,145.664,178.962,3521.04,winter_day,150MW
145.648,145.648,0.0,0.0,2565.499,2565.499,145.664,178.962,3521.04,winter_day,150MW
145.266,145.266,0.122,0.122,2771.722,2771.722,145.664,178.962,3521.04,winter_day,150MW
145.655,145.655,0.001,0.001,2690.769,2690.769,145.664,178.962,3521.04,winter_day,150MW
89.122,89.122,0.0,0.0,1810.367,1810.367,145.664,178.962,3521.04,winter_day,150MW
28.868,28.868,6.537,6.537,2634.317,2634.317,145.664,178.962,3521.04,winter_day,150MW
129.109,129.109,0.008,0.008,2520.174,2520.174,145.664,178.962,3521.04,winter_day,150MW
142.29,142.29,0.0,0.0,3626.125,3521.04,145.664,178.962,3521.04,winter_day,150MW
24.433,24.433,1.1721193040866381e+29,178.962,2017.688,2017.688,145.664,178.962,3521.04,winter_day,150MW
26.004,26.004,26235603346159.508,178.962,2882.31,2882.31,145.664,178.962,3521.04,winter_day,150MW
145.408,145.408,0.0,0.0,2560.166,2560.166,145.664,178.962,3521.04,winter_day,150MW
28.377,28.377,0.194,0.194,2489.883,2489.883,145.664,178.962,3521.04,winter_day,150MW
24.427,24.427,0.287,0.287,2345.021,2345.021,145.664,178.962,3521.04,winter_day,150MW
