LocalRep,GlobalIdx,Prob,spring_day,spring_night,summer_day,summer_night,fall_day,fall_night,winter_day,winter_night
0,3280,0.0096021947873799,17244.0792,18191.3838,41762.778,36667.164,23101.990199999997,25855.469999999998,32756.2698,21792.8304
1,1093,0.0097546105776558,21967.5156,18191.3838,41762.778,36667.164,23101.990199999997,25855.469999999998,32756.2698,21792.8304
2,5467,0.0080780368846212,24878.085599999995,18191.3838,41762.778,36667.164,23101.990199999997,25855.469999999998,32756.2698,21792.8304
3,3250,0.0074683737235177,17244.0792,18191.3838,41762.778,36667.164,20539.3422,25855.469999999998,31485.513,21792.8304
4,3256,0.0073159579332418,17244.0792,18191.3838,41762.778,36667.164,20539.3422,25855.469999999998,27149.8092,21792.8304
5,2578,0.0076207895137936,17244.0792,21732.3342,41762.778,36667.164,34847.5962,25855.469999999998,32756.2698,21792.8304
6,4036,0.0070111263526901,17244.0792,34718.6682,41762.778,36667.164,34847.5962,25855.469999999998,32756.2698,21792.8304
7,2947,0.0088401158360006,17244.0792,18191.3838,22686.340199999995,37980.638399999996,23101.990199999997,17677.9464,32756.2698,21792.8304
8,3127,0.0096021947873799,17244.0792,18191.3838,22686.340199999995,18437.5302,23101.990199999997,25538.1684,32756.2698,21792.8304
9,3451,0.0096021947873799,17244.0792,18191.3838,29502.7554,37980.638399999996,23101.990199999997,25538.1684,32756.2698,21792.8304
10,3595,0.0089925316262764,17244.0792,18191.3838,29502.7554,18437.5302,23101.990199999997,17677.9464,32756.2698,21792.8304
11,778,0.0079256210943453,21967.5156,18191.3838,22686.340199999995,37980.638399999996,23101.990199999997,25538.1684,32756.2698,21792.8304
12,922,0.0082304526748971,21967.5156,18191.3838,22686.340199999995,18437.5302,23101.990199999997,17677.9464,32756.2698,21792.8304
13,1246,0.0089925316262764,21967.5156,18191.3838,29502.7554,37980.638399999996,23101.990199999997,17677.9464,32756.2698,21792.8304
