DateTime,wind_LV_ActivePower_kW,wind_Wind_Speed_m_s,wind_Theoretical_Power_Curve_KWh,wind_Wind_Direction,wind_Energy_from_ActivePower_kWh,solar_Gb_i,solar_Gd_i,solar_Gr_i,solar_H_sun,solar_T2m,solar_WS10m,solar_Int,solar_G_i__POA,load_PJME_MW,season,day_night
2018-09-01 05:00:00,3312.19799804687,12.7043695449829,3591.25555892858,65.26959991455071,3312.19799804687,211.83,100.84,5.7,20.84,20.07,2.28,0,318.37,22668.0,fall,day
2018-09-01 06:00:00,3405.24389648437,12.8049297332763,3594.94653840604,65.9495697021484,3405.24389648437,434.06,131.27,9.42,32.14,22.63,2.97,0,574.75,23779.0,fall,day
2018-09-01 07:00:00,3352.18603515625,12.9643096923828,3597.79704354233,74.1513671875,3352.18603515625,639.86,148.11,12.62,42.7,25.34,3.24,0,800.59,25650.0,fall,day
2018-09-01 08:00:00,1797.80297851562,8.7321434020996,1972.95399902843,72.0593338012695,1797.80297851562,815.08,149.05,15.14,51.67,27.1,2.55,0,979.27,27006.0,fall,day
2018-09-01 09:00:00,1327.07702636718,7.95977401733398,1507.04571839708,64.3066329956054,1327.07702636718,917.5,148.29,16.58,57.52,28.46,1.79,0,1082.37,27924.0,fall,day
2018-09-01 10:00:00,1261.66296386718,7.79181003570556,1413.12469915482,60.3422584533691,1261.66296386718,870.6,177.86,16.33,58.38,29.53,1.59,0,1064.79,28394.0,fall,day
2018-09-01 11:00:00,1147.42199707031,7.36582422256469,1189.56250697811,54.22700881958,1147.42199707031,852.71,150.75,15.7,53.89,30.32,1.59,0,1019.16,28768.0,fall,day
2018-09-01 12:00:00,1134.56201171875,7.31683588027954,1165.24466382738,35.2125701904296,1134.56201171875,523.41,243.0,12.37,45.68,30.81,1.66,0,778.78,29021.0,fall,day
2018-09-01 13:00:00,1772.84997558593,8.7659912109375,1994.366323766,32.4984817504882,1772.84997558593,242.58,253.86,8.54,35.49,30.92,1.79,0,504.98,29241.0,fall,day
2018-09-01 14:00:00,1793.24401855468,8.76634693145751,1994.59169348387,40.4964599609375,1793.24401855468,42.3,179.32,4.23,24.36,30.7,2.07,0,225.85,29524.0,fall,day
2018-09-01 15:00:00,1851.46203613281,8.88721847534179,2071.55466943729,52.8946914672851,1851.46203613281,20.19,87.64,2.19,12.86,30.1,2.14,0,110.02,29622.0,fall,day
2018-09-01 16:00:00,2109.7939453125,9.61192321777343,2526.2121340727,58.13623046875,2109.7939453125,0.0,1.71,0.04,1.36,28.96,1.66,0,1.75,29590.0,fall,day
2018-09-01 17:00:00,2150.58911132812,9.93642711639404,2751.9364294103,66.0100936889648,2150.58911132812,0.0,0.0,0.0,0.0,27.12,1.38,0,0.0,29523.0,fall,day
2018-09-02 05:00:00,3557.96508789062,12.7704896926879,3593.84885834493,64.6924896240234,3557.96508789062,189.14,113.48,5.48,20.68,19.75,1.31,0,308.1,20337.0,fall,day
2018-09-02 06:00:00,3507.0849609375,13.0919399261474,3600.0,67.0046920776367,3507.0849609375,423.98,136.79,9.3,31.96,23.24,1.72,0,570.07,20701.0,fall,day
2018-09-02 07:00:00,3018.56494140625,12.1027698516845,3537.03428946218,67.4271697998046,3018.56494140625,634.27,151.77,12.53,42.48,25.64,0.83,0,798.57,21345.0,fall,day
2018-09-02 08:00:00,2110.85498046875,9.48096656799316,2457.49176884489,68.3189086914062,2110.85498046875,807.32,154.99,15.05,51.4,27.45,1.79,0,977.36,22061.0,fall,day
2018-09-02 09:00:00,1776.97900390625,8.83126163482666,2035.8324545929,58.54299163818351,1776.97900390625,908.62,154.27,16.48,57.19,28.89,2.83,0,1079.37,23607.0,fall,day
2018-09-02 10:00:00,2490.82690429687,10.3872499465942,3010.30765484649,58.74980926513671,2490.82690429687,958.72,135.62,16.93,58.01,29.92,3.72,0,1111.27,24979.0,fall,day
2018-09-02 11:00:00,1714.77697753906,8.35622787475585,1740.1108167654,28.9590301513671,1714.77697753906,897.31,129.23,15.97,53.53,30.52,4.21,0,1042.51,25795.0,fall,day
2018-09-02 12:00:00,1534.21301269531,8.15390872955322,1619.32699668329,32.9309005737304,1534.21301269531,725.87,139.2,13.67,45.34,30.83,4.34,0,878.74,26045.0,fall,day
2018-09-02 13:00:00,1515.89794921875,8.1865816116333,1638.58555461157,30.573959350585906,1515.89794921875,548.25,117.24,10.83,35.18,30.76,4.34,0,676.32,26059.0,fall,day
2018-09-02 14:00:00,2013.38500976562,9.32320117950439,2354.07554830074,37.7815589904785,2013.38500976562,292.24,108.4,6.98,24.06,30.37,4.28,0,407.62,25949.0,fall,day
2018-09-02 15:00:00,1443.67797851562,8.00566864013671,1533.24457360537,44.1628608703613,1443.67797851562,62.97,76.49,2.89,12.56,29.59,4.14,0,142.35,25833.0,fall,day
2018-09-02 16:00:00,1665.28198242187,8.64869213104248,1920.44709711954,58.51832962036129,1665.28198242187,0.0,0.0,0.0,0.0,28.07,3.52,0,0.0,25758.0,fall,day
2018-09-02 17:00:00,2385.40209960937,10.7353496551513,3170.77398903141,68.84985351562501,2385.40209960937,0.0,0.0,0.0,0.0,26.01,3.59,0,0.0,25898.0,fall,day
2018-09-03 05:00:00,2720.21899414062,10.9084501266479,3239.1518011873,68.0027923583984,2720.21899414062,217.55,98.95,5.66,20.51,19.26,1.59,0,322.16,20149.0,fall,day
2018-09-03 06:00:00,2427.05590820312,10.4274101257324,3030.46679528624,68.4597702026367,2427.05590820312,443.64,128.27,9.4,31.77,21.56,1.93,0,581.31,20451.0,fall,day
2018-09-03 07:00:00,1859.26000976562,9.04757213592529,2174.70295529942,63.3161888122558,1859.26000976562,644.68,148.11,12.57,42.27,23.49,1.24,0,805.36,21018.0,fall,day
2018-09-03 08:00:00,1881.79699707031,9.22274684906005,2288.46178399563,68.9401016235351,1881.79699707031,808.83,155.5,15.01,51.13,25.28,1.17,0,979.34,21718.0,fall,day
