DateTime,wind_LV_ActivePower_kW,wind_Wind_Speed_m_s,wind_Theoretical_Power_Curve_KWh,wind_Wind_Direction,wind_Energy_from_ActivePower_kWh,solar_Gb_i,solar_Gd_i,solar_Gr_i,solar_H_sun,solar_T2m,solar_WS10m,solar_Int,solar_G_i__POA,load_PJME_MW,season,day_night
2018-03-01 05:00:00,0.0,4.18012714385986,157.18846514334,24.471939086913995,0.0,0.0,23.63,0.47,7.91,-4.61,1.72,0,24.1,22443.0,spring,day
2018-03-01 06:00:00,0.0,3.77980089187622,89.600783017715,53.0140800476074,0.0,0.0,52.72,1.05,18.61,-3.45,2.83,0,53.77,24432.0,spring,day
2018-03-01 07:00:00,0.0,1.50222599506378,0.0,70.0511627197265,0.0,0.0,105.45,2.1,28.23,-1.65,4.34,0,107.55,27665.0,spring,day
2018-03-01 08:00:00,0.0,0.700203478336334,0.0,62.3540611267089,0.0,0.0,173.62,3.45,36.1,-0.78,4.83,0,177.07,29226.0,spring,day
2018-03-01 09:00:00,0.0,2.85493803024291,0.0,188.241104125976,0.0,5.77,234.38,4.72,41.25,0.38,5.52,0,244.87,29552.0,spring,day
2018-03-01 10:00:00,0.0,4.10872411727905,143.453287352134,214.481399536132,0.0,17.27,274.38,5.62,42.75,1.09,5.66,0,297.27,29748.0,spring,day
2018-03-01 11:00:00,0.0,4.67060899734497,259.011579297339,195.580200195312,0.0,60.75,304.91,6.62,40.26,1.45,5.31,0,372.28,30026.0,spring,day
2018-03-01 12:00:00,0.0,3.79802894592285,92.4849421519903,195.98390197753895,0.0,24.97,238.49,4.97,34.33,1.86,5.03,0,268.43,29769.0,spring,day
2018-03-01 13:00:00,0.0,4.44052696228027,209.516258815825,178.702606201171,0.0,100.25,218.05,5.17,25.95,2.26,4.62,0,323.47,29294.0,spring,day
2018-03-01 14:00:00,0.0,4.50606107711791,223.283728463426,183.132507324218,0.0,179.97,128.63,3.98,15.99,2.1,3.52,0,312.58,29359.0,spring,day
2018-03-01 15:00:00,0.0,5.69393587112426,526.558066193416,196.313003540039,0.0,19.19,29.5,0.71,5.11,1.4,2.07,0,49.4,29221.0,spring,day
2018-03-01 16:00:00,137.578399658203,8.1948766708374,1643.49068810894,199.675903320312,137.578399658203,0.0,0.0,0.0,0.0,0.1,1.59,0,0.0,29344.0,spring,day
2018-03-01 17:00:00,1731.375,8.6738166809082,1936.21118482294,210.10600280761696,1731.375,0.0,0.0,0.0,0.0,-1.49,1.24,0,0.0,29604.0,spring,day
