time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,G(i)_POA
20180101:0010,0,0,0,0,-0.29,1.52,0,0
20180101:0110,0,0,0,0,-1.11,1.38,0,0
20180101:0210,0,0,0,0,-1.55,1.45,0,0
20180101:0310,0,0,0,0,-2.18,1.52,0,0
20180101:0410,0,0,0,0,-2.17,1.38,0,0
20180101:0510,0,0,0,0,-1.85,1.31,0,0
20180101:0610,87.33,79.56,1.66,8.63,-1.66,1.38,0,168.55
20180101:0710,168.26,161.21,3.78,16.74,-1.12,1.31,0,333.25
20180101:0810,196.01,218.48,5.23,22.92,-0.38,1.52,0,419.72
20180101:0910,529.07,222.34,7.78,26.57,0.46,1.79,0,759.19
20180101:1010,277.97,260.5,6.64,27.23,1.07,2.48,0,545.11
20180101:1110,622.14,171.91,7.69,24.82,1.67,2.97,0,801.74
20180101:1210,539.91,137.99,6.06,19.66,2.22,2.9,0,683.96
20180101:1310,292.66,113.34,3.27,12.3,2.17,2.55,0,409.27
20180101:1410,44.06,21.23,0.47,3.34,1.92,2.41,0,65.76
20180101:1510,0,0,0,0,0.67,1.93,0,0
20180101:1610,0,0,0,0,0.39,1.38,0,0
20180101:1710,0,0,0,0,-0.11,1.1,0,0
20180101:1810,0,0,0,0,-0.53,0.9,0,0
20180101:1910,0,0,0,0,-0.65,1.31,0,0
20180101:2010,0,0,0,0,-1.07,1.31,0,0
20180101:2110,0,0,0,0,-1.02,1.24,0,0
20180101:2210,0,0,0,0,-1.2,1.24,0,0
20180101:2310,0,0,0,0,-1.36,1.24,0,0
20180102:0010,0,0,0,0,-1.01,1.1,0,0
20180102:0110,0,0,0,0,-0.94,1.03,0,0
20180102:0210,0,0,0,0,-1.1,1.03,0,0
20180102:0310,0,0,0,0,-1.17,1.03,0,0
20180102:0410,0,0,0,0,-1.85,1.24,0,0
20180102:0510,0,0,0,0,-2.97,1.59,0,0
20180102:0610,254.98,83.77,2.26,8.63,-2.58,1.38,0,341.01
20180102:0710,466.95,127.66,5.06,16.76,1.21,0.97,0,599.67
20180102:0810,627.66,150.12,7.27,22.96,4.22,1.45,0,785.05
20180102:0910,702.75,164.95,8.46,26.63,5.72,1.93,0,876.16
20180102:1010,718.46,167.53,8.7,27.32,6.79,2.28,0,894.69
20180102:1110,610.56,176.37,7.67,24.93,7.53,2.55,0,794.6
20180102:1210,460.4,160.95,5.79,19.78,7.95,2.83,0,627.14
20180102:1310,192.85,122.28,2.95,12.43,7.78,2.83,0,318.08
20180102:1410,18.26,19.9,0.42,3.47,6.42,2.41,0,38.58
20180102:1510,0,0,0,0,4.49,2.55,0,0
20180102:1610,0,0,0,0,3.08,2.41,0,0
20180102:1710,0,0,0,0,2.01,2.28,0,0
20180102:1810,0,0,0,0,1.16,2.21,0,0
20180102:1910,0,0,0,0,0.65,2.07,0,0
20180102:2010,0,0,0,0,0.38,2.07,0,0
20180102:2110,0,0,0,0,-0.11,2.07,0,0
20180102:2210,0,0,0,0,0.11,1.93,0,0
20180102:2310,0,0,0,0,0.41,2,0,0
20180103:0010,0,0,0,0,0,2.14,0,0
20180103:0110,0,0,0,0,0.21,2.28,0,0
20180103:0210,0,0,0,0,0.34,2.34,0,0
20180103:0310,0,0,0,0,0.17,2.28,0,0
20180103:0410,0,0,0,0,0.34,2.28,0,0
20180103:0510,0,0,0,0,0.01,2.41,0,0
20180103:0610,228.54,84.6,2.17,8.63,0.82,2.34,0,315.31
20180103:0710,82.61,145.18,3.16,16.78,3.59,2.21,0,230.95
20180103:0810,518.54,180.84,6.82,23.01,6.13,2.97,0,706.2
20180103:0910,563.7,209.36,7.9,26.71,7.91,3.93,0,780.96
20180103:1010,461.19,240.72,7.61,27.42,8.74,4.55,0,709.52
20180103:1110,86.97,211.69,4.63,25.05,9.02,4.48,0,303.29
20180103:1210,143.57,182.81,4.21,19.91,8.98,4.21,0,330.59
20180103:1310,222.89,119.35,3.06,12.57,8.49,3.52,0,345.3
20180103:1410,58.85,24.88,0.56,3.61,7.79,3.38,0,84.29
20180103:1510,0,0,0,0,6.34,3.03,0,0
20180103:1610,0,0,0,0,5.4,2.76,0,0
20180103:1710,0,0,0,0,5.13,2.62,0,0
20180103:1810,0,0,0,0,4.88,2.83,0,0
20180103:1910,0,0,0,0,4.49,2.55,0,0
20180103:2010,0,0,0,0,4.32,2.76,0,0
20180103:2110,0,0,0,0,4.36,2.9,0,0
20180103:2210,0,0,0,0,4.03,2.83,0,0
20180103:2310,0,0,0,0,3.8,2.69,0,0
20180104:0010,0,0,0,0,3.46,2.48,0,0
20180104:0110,0,0,0,0,3.13,2.34,0,0
20180104:0210,0,0,0,0,2.77,2.07,0,0
20180104:0310,0,0,0,0,2.4,1.93,0,0
20180104:0410,0,0,0,0,1.98,1.72,0,0
20180104:0510,0,0,0,0,1.25,1.79,0,0
20180104:0610,16.04,56.07,1.14,8.65,0.99,1.59,0,73.25
20180104:0710,2.29,90.36,1.81,16.82,3.48,1.72,0,94.46
20180104:0810,2.03,123.03,2.46,23.07,5.2,2.41,0,127.52
20180104:0910,5.8,155.47,3.13,26.79,6.4,2.14,0,164.4
20180104:1010,0,138.17,2.75,27.53,7.24,2.28,0,140.92
20180104:1110,0,42.72,0.85,25.17,6.82,2.62,0,43.57
20180104:1210,49.08,157.84,3.35,20.04,5.36,2.14,0,210.27
20180104:1310,75.47,108.09,2.33,12.71,5.02,0.69,0,185.89
20180104:1410,0,9.09,0.18,3.75,4.85,0.21,0,9.27
20180104:1510,0,0,0,0,3.59,0.9,0,0
20180104:1610,0,0,0,0,2.34,1.59,0,0
20180104:1710,0,0,0,0,1.37,1.59,0,0
20180104:1810,0,0,0,0,0.86,1.45,0,0
20180104:1910,0,0,0,0,0.13,1.79,0,0
20180104:2010,0,0,0,0,-0.14,1.66,0,0
20180104:2110,0,0,0,0,-0.54,1.66,0,0
20180104:2210,0,0,0,0,-0.7,1.52,0,0
20180104:2310,0,0,0,0,0.08,1.38,0,0
20180105:0010,0,0,0,0,0.87,1.45,0,0
20180105:0110,0,0,0,0,1.14,1.45,0,0
20180105:0210,0,0,0,0,1.05,1.38,0,0
20180105:0310,0,0,0,0,1.25,1.24,0,0
20180105:0410,0,0,0,0,1.29,1.31,0,0
20180105:0510,0,0,0,0,1.37,1.24,0,0
20180105:0610,15.98,57.01,1.16,8.67,1.7,1.17,0,74.15
20180105:0710,84.44,146.5,3.2,16.86,2.84,1.66,0,234.14
20180105:0810,394.57,210.05,6.35,23.13,4.48,1.93,0,610.97
20180105:0910,121.45,238.62,5.35,26.88,6.1,1.59,0,365.42
